,IATACode,ICAOCode,Name,Countries
414,OS,AUA,Austrian,"['AL', 'AM', 'AT', 'BA', 'BE', 'BG', 'CA', 'CH', 'CN', 'CY', 'CZ', 'DE', 'DK', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IL', 'IQ', 'IR', 'IS', 'IT', 'JO', 'JP', 'LT', 'MA', 'MD', 'ME', 'MK', 'MU', 'MV', 'MX', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SE', 'SK', 'TH', 'TR', 'US']"
415,OU,CTN,Croatia Airlines,"['AT', 'BA', 'BE', 'CH', 'CZ', 'DE', 'DK', 'ES', 'FR', 'GB', 'GR', 'HR', 'IE', 'IT', 'MK', 'NL', 'NO', 'RO', 'SE']"
416,OV,ELL,SalamAir,"['AE', 'AZ', 'BA', 'BD', 'BH', 'CZ', 'EG', 'IN', 'IQ', 'IR', 'KW', 'KZ', 'LB', 'LK', 'MY', 'NP', 'OM', 'PK', 'QA', 'SA', 'SD', 'TH', 'TR']"
417,OW,EXK,Skyward Express,['KE']
418,OZ,OZR,Asiana Airlines,"['AU', 'CN', 'DE', 'ES', 'FR', 'GB', 'HK', 'ID', 'IN', 'IT', 'JP', 'KH', 'KR', 'KZ', 'MN', 'MP', 'PH', 'SG', 'TH', 'TR', 'TW', 'US', 'UZ', 'VN']"
419,P0,PFZ,Proflight Zambia,"['MW', 'ZA', 'ZM']"
420,P2,,AirKenya Express Limited,"['KE', 'TZ', 'UG', 'YE']"
421,P4,,Air Peace,"['CM', 'GH', 'GM', 'IN', 'NG', 'SL', 'SN', 'TG', 'ZA']"
422,P5,RPB,Copa Airlines Colombia,"['AW', 'CO', 'CR', 'CU', 'CW', 'DO', 'EC', 'MX', 'PA', 'PE', 'VE']"
423,P6,,Pascan,['CA']
424,PA,PAA,Airblue,"['AE', 'PK', 'SA']"
425,PB,,PAL Airlines,['CA']
426,PC,PGT,Pegasus,"['AE', 'AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'BG', 'BH', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GE', 'GR', 'HU', 'IL', 'IQ', 'IR', 'IT', 'JO', 'KG', 'KW', 'KZ', 'LB', 'MA', 'MD', 'ME', 'MK', 'NL', 'NO', 'OM', 'PK', 'PL', 'QA', 'RO', 'RS', 'RU', 'SA', 'SE', 'TR']"
427,PD,POE,Porter Airlines,"['CA', 'US']"
428,PE,PEV,Peoples,"['AT', 'CH']"
429,PF,PNW,Air Sial Limited,"['OM', 'PK', 'SA']"
430,PG,BKP,Bangkok Airways,"['CN', 'HK', 'KH', 'LA', 'MM', 'MV', 'SG', 'TH']"
431,PI,SUF,Polar Airlines,['RU']
432,PJ,SPM,Air Saint Pierre,"['CA', 'PM']"
433,PK,PIA,Pakistan International Airlines,"['AE', 'AZ', 'BH', 'CA', 'CF', 'CM', 'CN', 'IQ', 'KW', 'MY', 'OM', 'PK', 'QA', 'SA', 'SY', 'TR']"
434,PL,ASE,Southern Air,['BS']
435,PM,TOS,Canary Fly,['ES']
436,PN,,West Air,['CN']
437,PNX,,AIS Airlines,['DE']
438,PR,PAL,Philippine Airlines,"['AE', 'AU', 'CA', 'CN', 'GU', 'HK', 'ID', 'JP', 'KH', 'KR', 'MO', 'MY', 'PG', 'PH', 'QA', 'SA', 'SG', 'TH', 'TW', 'US', 'VN']"
439,PU,PUA,Plus Ultra,"['CO', 'ES', 'GQ', 'PE', 'VE']"
440,PV,SBU,Saint Barth Commuter,"['BL', 'GP', 'MF', 'SX']"
441,PW,PRF,Precision Air Services,"['KE', 'KM', 'TZ']"
442,PX,ANG,Air Niugini,"['AU', 'FJ', 'HK', 'PG', 'PH', 'PW', 'SB', 'SG']"
443,PY,SLM,Surinam Airways,"['AW', 'CW', 'GY', 'NL', 'SR', 'US']"
444,Q2,,Maldivian,"['BD', 'IN', 'MV']"
445,Q3,MBN,Anguilla Air Services,"['AI', 'BL', 'SX', 'VI']"
446,Q5,MLA,40-Mile Air,['US']
447,Q6,CDP,Volaris Costa Rica,"['CO', 'CR', 'GT', 'MX', 'PE', 'SV', 'US']"
448,Q8,PEC,Trans Air Congo,['CG']
449,Q9,AFU,Green Africa Airways Limited,['NG']
450,QB,GFG,Qeshm Air,"['AE', 'DE', 'GE', 'IQ', 'IR', 'TR']"
451,QC,CRD,Camair-Co,"['CF', 'CM', 'GA', 'TD']"
452,QF,SSQ,Qantas,"['AU', 'CA', 'CL', 'CN', 'FJ', 'GB', 'HK', 'ID', 'IN', 'IT', 'JP', 'KR', 'NC', 'NF', 'NZ', 'PG', 'PH', 'SB', 'SG', 'TH', 'TL', 'TO', 'US', 'WS', 'ZA']"
453,QG,,Citilink,"['ID', 'MY', 'SG']"
454,QH,LYN,Bamboo Airways,"['AU', 'DE', 'GB', 'JP', 'KR', 'SG', 'TH', 'TW', 'VN']"
455,QI,CIM,Ibom Air,['NG']
456,QL,LER,LASER,"['CO', 'CW', 'DO', 'PA', 'VE']"
457,QN,ARR,Skytrans,['AU']
458,QP,,Akasa Air,['IN']
459,QQ,ROA,Alliance Airlines,"['AU', 'PG']"
460,QR,QTR,Qatar Airways,"['AE', 'AM', 'AO', 'AR', 'AT', 'AU', 'AZ', 'BA', 'BD', 'BE', 'BG', 'BH', 'BR', 'CA', 'CH', 'CI', 'CN', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DZ', 'EG', 'ES', 'ET', 'FR', 'GB', 'GE', 'GH', 'GR', 'HK', 'HR', 'HU', 'ID', 'IE', 'IN', 'IQ', 'IR', 'IT', 'JO', 'JP', 'KE', 'KR', 'KW', 'KZ', 'LB', 'LK', 'MA', 'MV', 'MY', 'MZ', 'NA', 'NG', 'NL', 'NO', 'NP', 'NZ', 'OM', 'PH', 'PK', 'PL', 'QA', 'RO', 'RS', 'RU', 'SA', 'SC', 'SD', 'SE', 'SG', 'SO', 'TH', 'TN', 'TR', 'TZ', 'UG', 'US', 'VN', 'ZA', 'ZM', 'ZW']"
461,QS,TVS,Smart Wings,"['AE', 'AL', 'BG', 'CY', 'CZ', 'EG', 'ES', 'FR', 'GR', 'HR', 'HU', 'IL', 'IT', 'PT', 'SK', 'TR']"
462,QV,LAO,Lao Airlines,"['CN', 'KH', 'KR', 'LA', 'TH', 'VN']"
463,QW,BWG,Qingdao Airlines,"['CN', 'KR', 'TH']"
464,QZ,AWQ,Indonesia AirAsia,"['AU', 'ID', 'KH', 'MY', 'SG', 'TH']"
465,R2,ORB,Groupe Transair,"['CG', 'CI', 'CV', 'GA', 'GN', 'ML', 'SN']"
466,R3,SYL,Yakutia,"['CN', 'RU']"
467,R5,MAC,Jordan Aviation Airlines,"['AE', 'EG', 'JO']"
468,RA,RNA,Nepal Airlines,"['AE', 'HK', 'IN', 'JP', 'MY', 'NP', 'QA', 'SA', 'TH']"
469,RC,FLI,Atlantic Airways Faroe Islands,"['DE', 'DK', 'ES', 'FO', 'FR', 'GB', 'IS', 'NO', 'US']"
470,RER,,Aeroregional,"['EC', 'PA']"
471,RF,FWL,Aero K Airlines,"['JP', 'KR']"
472,RFR,,Royal Air Force,"['CV', 'FK', 'GB']"
473,RJ,RJA,Royal Jordanian,"['AE', 'BE', 'BH', 'CA', 'CH', 'CY', 'DE', 'DK', 'DZ', 'EG', 'ES', 'FR', 'GB', 'GR', 'IL', 'IQ', 'IT', 'JO', 'KW', 'LB', 'NL', 'QA', 'SA', 'SE', 'TH', 'TN', 'TR', 'US']"
474,RK,RKH,Ryanair UK,"['AL', 'BE', 'BG', 'CH', 'CZ', 'DE', 'DK', 'ES', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IT', 'LU', 'LV', 'MA', 'ME', 'MT', 'NO', 'PL', 'PT', 'RO', 'SE', 'SK']"
475,RLY,,Air Loyaute,['NC']
476,RM,,Armenia,"['AM', 'GE', 'RU']"
477,RO,ROT,TAROM,"['BE', 'BG', 'CZ', 'DE', 'EG', 'ES', 'FR', 'GB', 'GR', 'HU', 'IL', 'IT', 'JO', 'LB', 'MD', 'NL', 'RO', 'RS', 'TR']"
478,RQ,KMF,Kam Air,"['AE', 'AF', 'IN', 'KW', 'PK', 'SA', 'TR', 'UZ']"
479,RRV,,Mombasa Air Safari,['KE']
480,RS,SKV,Air Seoul,"['CN', 'JP', 'KR', 'PH', 'VN']"
481,RT,,UVT Aero,['RU']
482,RVP,,Sevenair,['PT']
483,RW,RPA,Royal Air,['PH']
484,RY,,Jiangxi Air,"['CN', 'HK']"
485,RZ,,SANSA,"['CR', 'NI', 'PA']"
486,S0,OKS,Aerolineas Sosa,['HN']
487,S4,RZO,Azores Airlines,"['BM', 'CA', 'CV', 'DE', 'ES', 'FR', 'PT', 'US']"
488,S6,,Sunrise Airways,"['CU', 'DO', 'GP', 'HT', 'PA']"
489,S7,SBI,S7 Airlines,"['AE', 'AM', 'CN', 'KG', 'RU', 'TH', 'TJ', 'TM', 'TR', 'UZ']"
490,S8,SWW,Sounds Air,['NZ']
491,SA,SAA,South African Airways,"['BR', 'CD', 'GH', 'MU', 'MW', 'NA', 'NG', 'ZA', 'ZM', 'ZW']"
492,SAW,,Cham Wings,"['AE', 'AM', 'IQ', 'IR', 'KW', 'LB', 'OM', 'PK', 'RU', 'SY']"
493,SB,ACI,Aircalin,"['AU', 'FJ', 'JP', 'NC', 'NZ', 'PF', 'SG', 'VU', 'WF']"
494,SC,CDG,Shandong Airlines,"['CN', 'HK', 'ID', 'JP', 'KR', 'TH', 'TW']"
495,SF,DTH,Tassili Airlines,"['DZ', 'FR']"
496,SG,SEJ,SpiceJet,"['AE', 'IN', 'LK', 'SA', 'TH']"
497,SH,FLY,Sharp Airlines,['AU']
498,SHS,,SHIRAK AVIA Limited Liability Company,"['AM', 'RU']"
499,SI,SIH,Blue Islands,"['CH', 'ES', 'FR', 'GB', 'GG', 'IE', 'JE']"
500,SJ,FOM,Sriwijaya Air,"['CN', 'ID', 'TL']"
501,SK,CNO,SAS,"['AT', 'BE', 'CA', 'CH', 'CN', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FO', 'FR', 'GB', 'GR', 'HR', 'IE', 'IS', 'IT', 'JP', 'LB', 'LT', 'MA', 'ME', 'NL', 'NO', 'PL', 'PT', 'SE', 'SJ', 'TH', 'TR', 'US']"
502,SL,RSL,Thai Lion Air,"['CN', 'ID', 'IN', 'JP', 'LK', 'NP', 'SG', 'TH', 'TW']"
503,SM,SRL,Air Cairo,"['AE', 'AM', 'AT', 'AZ', 'BA', 'CH', 'CZ', 'DE', 'DK', 'EG', 'ES', 'FR', 'GE', 'HU', 'IT', 'JO', 'KW', 'KZ', 'MA', 'MK', 'RS', 'SA', 'SK', 'UZ']"
504,SN,BEL,Brussels Airlines,"['AM', 'AO', 'AT', 'BE', 'BF', 'BI', 'BJ', 'CD', 'CH', 'CI', 'CM', 'CZ', 'DE', 'DK', 'EG', 'ES', 'FR', 'GB', 'GH', 'GM', 'GN', 'GR', 'HR', 'HU', 'IL', 'IT', 'LR', 'LT', 'MA', 'NO', 'PL', 'PT', 'RW', 'SE', 'SI', 'SL', 'SN', 'TG', 'TN', 'UG', 'US']"
505,SP,SAT,SATA (Air Acores),['PT']
506,SQ,SQC,Singapore Airlines,"['AE', 'AU', 'BD', 'BN', 'CA', 'CH', 'CN', 'DE', 'DK', 'ES', 'FR', 'GB', 'HK', 'ID', 'IN', 'IT', 'JP', 'KH', 'KR', 'LK', 'MM', 'MV', 'MY', 'NL', 'NP', 'NZ', 'PH', 'SG', 'TH', 'TR', 'TW', 'US', 'VN', 'ZA']"
507,SR,SWR,SundAir,"['DE', 'EG', 'LB']"
508,SS,CRL,Corsair,"['BJ', 'CA', 'CI', 'FR', 'GP', 'MG', 'ML', 'MQ', 'MU', 'RE', 'YT']"
509,ST,GMI,AIR THANLWIN,['MM']
510,SU,AFL,Aeroflot,"['AE', 'AM', 'AZ', 'BY', 'CN', 'CU', 'EG', 'IN', 'IR', 'KG', 'KZ', 'LK', 'MV', 'RU', 'SC', 'TH', 'TR', 'UZ']"
511,SV,SVA,Saudi Arabian Airlines,"['AE', 'AT', 'BD', 'BH', 'CH', 'CN', 'DE', 'DZ', 'EG', 'ES', 'ET', 'FR', 'GB', 'GR', 'ID', 'IN', 'IT', 'JO', 'KE', 'KR', 'KW', 'LB', 'MA', 'MU', 'MV', 'MY', 'NG', 'NL', 'OM', 'PH', 'PK', 'QA', 'SA', 'SD', 'SG', 'TH', 'TN', 'TR', 'TZ', 'US']"
512,SY,SCX,Sun Country,"['AW', 'BZ', 'CA', 'CR', 'DO', 'HN', 'JM', 'KY', 'MX', 'PR', 'SX', 'TC', 'US', 'VI']"
513,SZ,WOW,Somon Air,"['AE', 'CN', 'DE', 'IN', 'IR', 'KZ', 'RU', 'SA', 'TJ', 'TR', 'UZ']"
514,T3,EZE,Eastern Airways,"['FR', 'GB', 'JE']"
515,T5,,Turkmenistan Airlines,"['AE', 'CN', 'DE', 'GB', 'IN', 'IT', 'KZ', 'RU', 'TM', 'TR', 'VN']"
516,T6,TVR,AirSWIFT,['PH']
517,T7,TJT,Twin Jet,"['DE', 'FR', 'IT']"
518,T9,TSX,Turpial Airlines,"['CO', 'DO', 'PA', 'VE']"
519,TA,,Avianca El Salvador,"['NI', 'SV', 'US']"
520,TAN,,ZanAir,['TZ']
521,TB,,TUI fly,"['AL', 'AT', 'BE', 'BG', 'CU', 'CV', 'CY', 'DO', 'DZ', 'EG', 'ES', 'FI', 'FR', 'GM', 'GR', 'HR', 'IT', 'JM', 'MA', 'ME', 'MX', 'NL', 'PT', 'RS', 'SN', 'TN', 'TR']"
522,TBZ,,ATA Airlines,"['IQ', 'IR', 'TR']"
523,TC,ATC,Air Tanzania,"['BI', 'CD', 'CN', 'IN', 'KE', 'KM', 'TZ', 'UG', 'ZM', 'ZW']"
524,TEZ,,TEZ Jet,['KG']
525,TF,SCW,Braathens Regional Airways,"['DK', 'FI', 'FR', 'NO', 'SE']"
526,TG,THA,Thai Airways International,"['AU', 'BD', 'CH', 'CN', 'DE', 'DK', 'FR', 'GB', 'HK', 'ID', 'IN', 'JP', 'KH', 'KR', 'MM', 'MY', 'PH', 'PK', 'SA', 'SE', 'SG', 'TH', 'TW']"
527,THU,,Thunder Airlines,['CA']
528,TJ,,Tradewind Aviation,"['AG', 'AI', 'BL', 'PR', 'US', 'VG', 'VI']"
529,TK,THY,Turkish Airlines,"['AE', 'AO', 'AR', 'AT', 'AZ', 'BA', 'BD', 'BE', 'BF', 'BG', 'BH', 'BJ', 'BR', 'CA', 'CD', 'CG', 'CH', 'CI', 'CM', 'CN', 'CO', 'CU', 'CY', 'CZ', 'DE', 'DJ', 'DK', 'DZ', 'EE', 'EG', 'ER', 'ES', 'ET', 'FI', 'FR', 'GA', 'GB', 'GE', 'GH', 'GM', 'GN', 'GR', 'HK', 'HR', 'HU', 'ID', 'IE', 'IL', 'IN', 'IQ', 'IR', 'IT', 'JO', 'JP', 'KE', 'KG', 'KR', 'KW', 'KZ', 'LB', 'LK', 'LT', 'LU', 'LV', 'MA', 'MD', 'ME', 'MG', 'MK', 'ML', 'MN', 'MR', 'MT', 'MU', 'MV', 'MX', 'MY', 'MZ', 'NE', 'NG', 'NL', 'NO', 'NP', 'OM', 'PA', 'PH', 'PK', 'PL', 'PT', 'QA', 'RO', 'RS', 'RU', 'RW', 'SA', 'SC', 'SE', 'SG', 'SI', 'SL', 'SN', 'SO', 'SS', 'TD', 'TH', 'TJ', 'TM', 'TN', 'TR', 'TW', 'TZ', 'UG', 'US', 'UZ', 'VE', 'VN', 'ZA', 'ZM']"
530,TL,TMA,AIRNORTH,"['AU', 'TL']"
531,TM,LAM,LAM,"['MZ', 'TZ', 'ZA', 'ZM', 'ZW']"
532,TN,THT,Air Tahiti Nui,"['FR', 'JP', 'NZ', 'PF', 'US']"
533,TO,PSD,Transavia France,"['AE', 'AL', 'AM', 'AT', 'BG', 'CV', 'CY', 'CZ', 'DE', 'DK', 'DZ', 'EG', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'IE', 'IL', 'IS', 'IT', 'JO', 'LB', 'MA', 'ME', 'MT', 'NO', 'PT', 'SE', 'SI', 'SN', 'TN', 'TR']"
534,TOM,,TUI Airways,"['CV', 'EG', 'GB', 'HR', 'MA', 'MX']"
535,TP,TAP,TAP,"['AO', 'AT', 'BE', 'BR', 'CA', 'CH', 'CV', 'CZ', 'DE', 'DK', 'ES', 'FR', 'GB', 'GH', 'GM', 'GW', 'IE', 'IL', 'IT', 'LU', 'MA', 'MX', 'MZ', 'NL', 'NO', 'PL', 'PT', 'SE', 'SN', 'ST', 'US', 'VE']"
536,TR,TGW,Scoot,"['AU', 'CN', 'DE', 'GR', 'HK', 'ID', 'IN', 'JP', 'KR', 'LA', 'MO', 'MY', 'PH', 'SA', 'SG', 'TH', 'TW', 'VN']"
537,TS,TSC,Air Transat,"['BE', 'CA', 'CH', 'CO', 'CR', 'CU', 'DO', 'ES', 'FR', 'GB', 'GP', 'GR', 'HR', 'HT', 'IE', 'IT', 'JM', 'MQ', 'MX', 'NL', 'PA', 'PR', 'PT', 'SV', 'SX', 'US']"
538,TU,TAR,Tunisair,"['AT', 'BE', 'BF', 'CA', 'CH', 'CI', 'DE', 'DZ', 'EG', 'ES', 'FR', 'GB', 'GN', 'IT', 'LY', 'MA', 'ML', 'MR', 'NE', 'SA', 'SN', 'TN', 'TR']"
539,TV,VEX,Tibet Airlines,"['CN', 'NP']"
540,TW,TWA,T'Way Air,"['AU', 'CN', 'GU', 'HK', 'JP', 'KG', 'KR', 'MN', 'MP', 'MY', 'PH', 'SG', 'TH', 'TW', 'VN']"
541,TX,TAN,Air Caraibes,"['BE', 'BL', 'BS', 'DE', 'DM', 'DO', 'EG', 'ES', 'FR', 'GB', 'GF', 'GP', 'HT', 'IE', 'IT', 'MA', 'MF', 'MQ', 'MX', 'PT', 'SX', 'ZA']"
542,TY,IWD,Air Caledonie,['NC']
543,TZ,SCO,Tsaradia,['MG']
544,U2,UFS,easyJet,"['AL', 'AT', 'BE', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EG', 'ES', 'FI', 'FR', 'GB', 'GI', 'GR', 'HR', 'HU', 'IL', 'IM', 'IS', 'IT', 'JE', 'JO', 'LU', 'MA', 'ME', 'MK', 'MT', 'NL', 'PL', 'PT', 'RS', 'SE', 'SI', 'TN', 'TR']"
545,U4,PMT,Buddha Air,"['IN', 'NP']"
546,U6,SVR,Ural Airlines,"['KG', 'LA', 'RU', 'TJ']"
547,U8,RNV,TUS Airways,"['AE', 'CY', 'DE', 'FR', 'GR', 'IL', 'JO']"
548,UA,UAL,United Airlines,"['AE', 'AG', 'AR', 'AU', 'AW', 'BB', 'BE', 'BM', 'BQ', 'BR', 'BS', 'BZ', 'CA', 'CH', 'CL', 'CN', 'CO', 'CR', 'CU', 'CW', 'DE', 'DO', 'EC', 'ES', 'FM', 'FR', 'GB', 'GH', 'GR', 'GT', 'GU', 'HK', 'HN', 'HR', 'IE', 'IL', 'IN', 'IS', 'IT', 'JM', 'JO', 'JP', 'KN', 'KR', 'KY', 'LC', 'MH', 'MP', 'MX', 'NG', 'NI', 'NL', 'NZ', 'PA', 'PE', 'PF', 'PH', 'PR', 'PT', 'PW', 'SE', 'SG', 'SV', 'SX', 'TC', 'TT', 'TW', 'US', 'VI', 'ZA']"
549,UB,UBA,Myanmar National Airlines,"['CN', 'MM', 'SG', 'TH']"
550,UD,HER,UBD,"['AM', 'DE', 'DK', 'IQ', 'LB', 'NL', 'SY', 'TR']"
551,UG,TUI,Tunisair Express,"['DZ', 'IT', 'LY', 'MT', 'TN']"
552,UI,ECA,Auric Air,['TZ']
553,UJ,,Almasria,"['DJ', 'EG', 'IT', 'KW', 'RU']"
554,UK,,Vistara,"['AE', 'BD', 'DE', 'FR', 'GB', 'IN', 'LK', 'MU', 'MV', 'NP', 'OM', 'SA', 'SG', 'TH']"
555,UL,ALK,SriLankan Airlines,"['AE', 'AU', 'BD', 'CN', 'DE', 'FR', 'GB', 'ID', 'IN', 'JP', 'KR', 'KW', 'LK', 'MV', 'MY', 'NP', 'PK', 'QA', 'SA', 'SG', 'TH']"
556,UM,AZW,Air Zimbabwe,"['TZ', 'ZA', 'ZW']"
557,UO,HKE,Hong Kong Express,"['CN', 'HK', 'JP', 'KR', 'TH', 'TW', 'VN']"
558,UP,BHS,Bahamasair,"['BS', 'CU', 'HT', 'TC', 'US']"
559,UQ,OCM,Urumqi Airlines,"['CN', 'HK']"
560,UR,,Uganda Airlines,"['BI', 'CD', 'KE', 'SO', 'SS', 'TZ', 'UG', 'ZA']"
561,UT,UTA,UTair Aviation,"['AE', 'AM', 'AZ', 'KG', 'RU', 'TJ', 'TR', 'UZ']"
562,UU,REU,Air Austral,"['BE', 'FR', 'KE', 'KM', 'MG', 'MU', 'RE', 'SC', 'TH', 'YT', 'ZA']"
563,UX,AEA,Air Europa Lineas Aereas,"['AR', 'BE', 'BO', 'BR', 'CH', 'CO', 'CU', 'CV', 'DE', 'DO', 'EC', 'ES', 'FR', 'GB', 'GR', 'HN', 'IL', 'IT', 'MA', 'MX', 'NL', 'PA', 'PE', 'PT', 'PY', 'TN', 'US', 'UY', 'VE']"
564,UZ,BRQ,Buraq Air,"['LY', 'TN', 'TR']"
565,V0,VCV,CONVIASA,"['BO', 'BR', 'CU', 'MX', 'NI', 'VE']"
566,V5,RYL,Aerovias DAP,['CL']
567,V7,VOE,Volotea,"['AT', 'BE', 'BG', 'CZ', 'DE', 'DK', 'DZ', 'ES', 'FR', 'GB', 'GR', 'HR', 'IT', 'LU', 'MA', 'PT']"
568,V8,VAS,Iliamna Air Taxi,['US']
569,VA,VAU,Virgin Australia International,"['AU', 'CC', 'CX', 'FJ', 'ID', 'JP', 'NZ', 'VU', 'WS']"
570,VB,VIV,VivaAerobus,"['CO', 'CU', 'EC', 'MX', 'US']"
571,VC,VAL,Sterling Airways-Aleutian Airways,['US']
572,VE,VLE,Easyfly,['CO']
573,VG,VLM,VIPPER BV,"['AT', 'BE', 'CZ', 'DE', 'FR', 'GB', 'IE', 'IT', 'LU', 'NL', 'PL', 'SI', 'SK', 'TR']"
574,VJ,JTY,VietJet Air,"['AU', 'HK', 'ID', 'IN', 'JP', 'KR', 'MY', 'SG', 'TH', 'TW', 'VN']"
575,VN,HVN,Vietnam Airlines,"['AU', 'CN', 'DE', 'FR', 'GB', 'HK', 'ID', 'IN', 'IR', 'JP', 'KH', 'KR', 'LA', 'MY', 'SG', 'TH', 'TW', 'US', 'VN']"
576,VO,TYR,Universal Air Charter and Management Lt,"['CY', 'IL']"
577,VP,VSP,Flyme,['MV']
578,VQ,,Novoair,"['BD', 'IN']"
579,VR,TCV,TACV Cabo Verde Airlines,"['CV', 'FR', 'PT']"
580,VRH,,Varesh Airlines,"['GE', 'IQ', 'IR', 'SA', 'TJ']"
581,VS,VIR,Virgin Atlantic Airways,"['AE', 'AG', 'BB', 'BS', 'CN', 'GB', 'GD', 'IL', 'IN', 'JM', 'LC', 'MV', 'NG', 'TC', 'US', 'VC', 'ZA']"
582,VT,VTA,Air Tahiti,"['CK', 'PF']"
583,VU,VUN,Vietravel Airlines,"['TH', 'VN']"
584,VY,VLG,Vueling Airlines,"['AT', 'BE', 'CH', 'CV', 'CY', 'CZ', 'DE', 'DK', 'DZ', 'EG', 'ES', 'FI', 'FR', 'GB', 'GM', 'GR', 'HR', 'IE', 'IL', 'IS', 'IT', 'JO', 'LB', 'MA', 'MT', 'NL', 'NO', 'PT', 'SE', 'SN', 'TN']"
585,VZ,MYT,Thai Vietjet Air,"['JP', 'KH', 'SG', 'TH', 'TW', 'VN']"
586,W3,FYH,Arik Air Limited,['NG']
587,W4,BES,Wizz Air Malta,"['AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GE', 'GR', 'HR', 'IL', 'IS', 'IT', 'LU', 'MA', 'ME', 'MK', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SE']"
588,W5,IRM,Mahan Air,"['AE', 'CN', 'IN', 'IQ', 'IR', 'PK', 'RU', 'TH', 'TR']"
589,W6,WZZ,Wizz Air,"['AE', 'AL', 'AM', 'AT', 'AZ', 'BA', 'BE', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'EG', 'ES', 'FI', 'FR', 'GB', 'GE', 'GR', 'HR', 'HU', 'IL', 'IS', 'IT', 'JO', 'KW', 'LT', 'LU', 'LV', 'MA', 'ME', 'MK', 'MT', 'NL', 'NO', 'PL', 'PT', 'RO', 'RS', 'SA', 'SE', 'SI', 'SK', 'TR']"
590,W9,SGR,Wizz Air UK,"['AL', 'BA', 'BG', 'CY', 'CZ', 'EE', 'EG', 'ES', 'FR', 'GB', 'GR', 'HR', 'IL', 'IS', 'IT', 'JO', 'LT', 'LV', 'MA', 'ME', 'MK', 'NO', 'PL', 'PT', 'RO', 'RS', 'SI', 'SK', 'TR']"
591,WB,RWD,RwandAir,"['AE', 'BE', 'BI', 'BJ', 'CF', 'CG', 'CM', 'FR', 'GA', 'GB', 'GH', 'IN', 'KE', 'NG', 'QA', 'RW', 'TZ', 'UG', 'ZA', 'ZM', 'ZW']"
592,WE,CWC,Thai Smile,"['IN', 'KH', 'LA', 'MY', 'NP', 'TH', 'TW', 'VN']"
593,WF,WIF,Wideroe,"['DE', 'DK', 'ES', 'FO', 'FR', 'GB', 'IE', 'IT', 'NO', 'SE']"
594,WG,SWG,Sunwing,"['AW', 'CA', 'CR', 'CU', 'DO', 'JM', 'MX', 'SX', 'US']"
595,WJ,,Jetsmart Airlines,"['AR', 'BR', 'CL', 'PE', 'PY']"
596,WK,EDW,Edelweiss Air,"['BG', 'CA', 'CH', 'CO', 'CR', 'CU', 'CV', 'CY', 'DO', 'EG', 'ES', 'FR', 'GB', 'GR', 'HR', 'IE', 'IS', 'IT', 'JM', 'JO', 'LK', 'MA', 'ME', 'MK', 'MU', 'MV', 'MX', 'NO', 'OM', 'PT', 'RS', 'SC', 'TH', 'TN', 'TR', 'TZ', 'US', 'ZA']"
597,WM,,Winair,"['AG', 'AI', 'AW', 'BB', 'BL', 'BQ', 'CW', 'DM', 'HT', 'KN', 'LC', 'SX', 'VG']"
598,WN,SWA,Southwest Airlines,"['AW', 'BS', 'BZ', 'CR', 'CU', 'DO', 'JM', 'KY', 'MX', 'PR', 'TC', 'US']"
599,WO,WOA,Swoop,"['CA', 'DO', 'JM', 'MX', 'US']"
600,WP,,Wasaya Airways,['CA']
601,WS,WJA,WestJet,"['AG', 'AW', 'BB', 'BM', 'BQ', 'BS', 'BZ', 'CA', 'CR', 'CU', 'CW', 'DO', 'ES', 'FR', 'GB', 'HN', 'IE', 'IT', 'JM', 'JP', 'KY', 'LC', 'MX', 'PR', 'SX', 'TC', 'US']"
602,WV,SWV,FlyNamibia,"['NA', 'ZA']"
603,WW,BMI,Venezolana,"['DO', 'PA', 'VE']"
604,WY,OMA,Oman Air,"['AE', 'BD', 'BH', 'CH', 'CN', 'DE', 'EG', 'FR', 'GB', 'ID', 'IN', 'IT', 'JO', 'KW', 'LK', 'MV', 'MY', 'OM', 'PH', 'PK', 'QA', 'RU', 'SA', 'TH', 'TR', 'TZ']"
605,WZ,WSF,Red Wings,"['AE', 'AM', 'AZ', 'BY', 'EG', 'IL', 'KG', 'KZ', 'LK', 'RU', 'TR', 'UZ']"
