,IATACode,ICAOCode,Name,Countries
118,B2,BRU,Belavia,"['AE', 'AM', 'AZ', 'BY', 'GE', 'IN', 'KZ', 'QA', 'RU', 'TM', 'TR', 'UZ']"
119,B3,BLV,Tashi Air Pvt Ltd.,"['BT', 'IN', 'NP', 'TH']"
120,B6,JBU,JetBlue Airways,"['AG', 'AW', 'BB', 'BM', 'BS', 'BZ', 'CA', 'CO', 'CR', 'CU', 'CW', 'DO', 'EC', 'FR', 'GB', 'GD', 'GP', 'GT', 'GY', 'HT', 'JM', 'KN', 'KY', 'LC', 'MX', 'NL', 'PE', 'PR', 'SX', 'TC', 'TT', 'US', 'VI']"
121,B7,,Uni Airways,"['CN', 'TW']"
122,B9,BGD,Iran Airtour,"['AE', 'AM', 'IQ', 'IR', 'TR']"
123,BA,BAW,British Airways,"['AE', 'AG', 'AL', 'AR', 'AT', 'AU', 'AW', 'BB', 'BE', 'BG', 'BH', 'BM', 'BR', 'BS', 'CA', 'CH', 'CL', 'CN', 'CR', 'CY', 'CZ', 'DE', 'DK', 'DO', 'DZ', 'EG', 'ES', 'FR', 'GB', 'GD', 'GH', 'GI', 'GR', 'GY', 'HK', 'HR', 'HU', 'IE', 'IL', 'IN', 'IS', 'IT', 'JE', 'JM', 'JO', 'JP', 'KE', 'KN', 'KW', 'KY', 'LC', 'LU', 'MA', 'MT', 'MU', 'MV', 'MX', 'NG', 'NL', 'NO', 'PK', 'PL', 'PT', 'QA', 'RO', 'SA', 'SE', 'SG', 'SI', 'TC', 'TR', 'TT', 'US', 'ZA']"
124,BB,SBS,Seaborne Airlines,['VI']
125,BC,SKY,Skymark Airlines,['JP']
126,BF,BBD,French bee,"['FR', 'PF', 'RE', 'US']"
127,BG,BBC,Biman Bangladesh Airlines,"['AE', 'BD', 'CA', 'GB', 'IN', 'IT', 'JP', 'KW', 'MY', 'NP', 'OM', 'QA', 'SA', 'SG', 'TH', 'TR']"
128,BI,RBA,Royal Brunei Airlines,"['AE', 'AU', 'BN', 'CN', 'GB', 'HK', 'ID', 'JP', 'KR', 'MY', 'PH', 'SA', 'SG', 'TH', 'TW', 'VN']"
129,BJ,LBT,Nouvelair Tunisie,"['AM', 'AT', 'BA', 'BE', 'CH', 'CZ', 'DE', 'DK', 'DZ', 'FR', 'GB', 'HR', 'HU', 'IT', 'MK', 'PL', 'PT', 'RS', 'RU', 'SE', 'SI', 'SK', 'TN', 'TR']"
130,BK,PDC,Okay Airways,"['CN', 'PH', 'TH']"
131,BMA,,Bermudair,"['BM', 'US']"
132,BP,BOT,Air Botswana,"['BW', 'ZA', 'ZM', 'ZW']"
133,BQ,ROM,SkyAlps SRL,"['AT', 'BE', 'CH', 'DE', 'DK', 'ES', 'HR', 'IT', 'SK']"
134,BR,EVA,EVA Air,"['AT', 'AU', 'CA', 'CN', 'DE', 'FR', 'GB', 'HK', 'ID', 'IT', 'JP', 'KH', 'KR', 'MO', 'MY', 'NL', 'PH', 'SG', 'TH', 'TW', 'US', 'VN']"
135,BS,BIH,US-Bangla Airlines,"['AE', 'BD', 'CN', 'IN', 'MV', 'MY', 'OM', 'QA', 'SG', 'TH']"
136,BT,BTI,Air Baltic,"['AE', 'AM', 'AT', 'AZ', 'BE', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'EE', 'ES', 'FI', 'FR', 'GB', 'GE', 'GR', 'HR', 'HU', 'IE', 'IL', 'IS', 'IT', 'LT', 'LV', 'MA', 'ME', 'MT', 'NL', 'NO', 'PT', 'RO', 'RS', 'SE', 'TR']"
137,BU,,CAA,['CD']
138,BV,BPA,"TOKI AIR Co., Ltd.",['JP']
139,BW,BWA,Caribbean Airlines,"['AG', 'BB', 'BS', 'CA', 'CU', 'CW', 'DM', 'GD', 'GY', 'JM', 'KN', 'LC', 'SR', 'SX', 'TT', 'US', 'VC', 'VE']"
140,BX,CST,Air Busan,"['CN', 'HK', 'JP', 'KH', 'KR', 'LA', 'MN', 'MO', 'MY', 'PH', 'RU', 'TH', 'TW', 'VN']"
141,BZ,KEE,Blue Bird Airways,"['BG', 'CY', 'CZ', 'ES', 'GR', 'HU', 'IL', 'IT', 'RO']"
142,C2,,CEIBA Intercontinental,"['BJ', 'GQ', 'TG']"
143,C3,IPR,Trade Air Ltd.,['HR']
144,C6,CJA,MY FREIGHTER,"['AE', 'RU', 'UZ']"
145,C8,WDY,Cronos Airlines,"['CM', 'GQ', 'NG']"
146,CA,CCA,Air China LTD,"['AE', 'AT', 'AU', 'BY', 'CA', 'CH', 'CN', 'DE', 'DK', 'ES', 'FR', 'GB', 'GR', 'HK', 'HU', 'ID', 'IT', 'JP', 'KH', 'KR', 'KZ', 'LK', 'MM', 'MN', 'MO', 'MY', 'NP', 'NZ', 'PH', 'PK', 'PL', 'RU', 'SE', 'SG', 'TH', 'TW', 'US', 'VN', 'ZA']"
147,CC,MCK,CM Airlines,"['GT', 'HN']"
148,CE,NTW,Route de Caen,"['FR', 'IE']"
149,CFV,,Calafia Airlines,['MX']
150,CG,TOK,PNG Air,['PG']
151,CI,CAL,China Airlines,"['AT', 'AU', 'CA', 'CN', 'CZ', 'DE', 'GB', 'GU', 'HK', 'ID', 'IN', 'IT', 'JP', 'KH', 'KR', 'MM', 'MY', 'NL', 'NZ', 'PH', 'PW', 'SG', 'TH', 'TW', 'US', 'VN']"
152,CM,CMP,COPA,"['AR', 'AW', 'BB', 'BO', 'BR', 'BS', 'BZ', 'CA', 'CL', 'CO', 'CR', 'CU', 'CW', 'DO', 'EC', 'GT', 'GY', 'HN', 'JM', 'MX', 'NI', 'PA', 'PE', 'PR', 'PY', 'SR', 'SV', 'SX', 'TT', 'US', 'UY', 'VE']"
153,CN,WWD,Grand China Air,['CN']
154,CQ,EXL,Coastal Aviation,['TZ']
155,CU,CUB,Cubana de Aviacion,"['AR', 'CU', 'ES']"
156,CX,CPA,Cathay Pacific Airways,"['AE', 'AU', 'BD', 'CA', 'CH', 'CN', 'DE', 'ES', 'FR', 'GB', 'HK', 'ID', 'IL', 'IN', 'IT', 'JP', 'KH', 'KR', 'LK', 'MY', 'NL', 'NP', 'NZ', 'PH', 'SG', 'TH', 'TW', 'US', 'VN', 'ZA']"
157,CY,CYP,Cyprus Airways,"['AE', 'AM', 'CH', 'CY', 'CZ', 'EG', 'FR', 'GR', 'IL', 'IT', 'LB']"
158,CZ,CSN,China Southern Airlines,"['AE', 'AU', 'AZ', 'BD', 'CA', 'CN', 'DE', 'FR', 'GB', 'GE', 'HK', 'ID', 'IR', 'IT', 'JP', 'KE', 'KG', 'KH', 'KR', 'KZ', 'LA', 'MM', 'MY', 'NL', 'NP', 'NZ', 'PH', 'PK', 'RU', 'SG', 'TH', 'TJ', 'TM', 'TR', 'TW', 'US', 'UZ', 'VN']"
159,D2,SSF,Severstal Aircompany,"['BY', 'RU']"
160,D3,DAO,Daallo Airlines,"['AE', 'SA', 'SO']"
161,D7,XFA,AirAsia X,"['AU', 'CN', 'ID', 'IN', 'JP', 'KR', 'MY', 'NZ', 'SA', 'TH', 'TW']"
162,D8,DJB,Norwegian Air International,"['AL', 'AT', 'BA', 'BG', 'CH', 'CY', 'CZ', 'DE', 'DK', 'ES', 'FI', 'FR', 'GB', 'GR', 'HR', 'HU', 'IE', 'IL', 'IT', 'LT', 'LV', 'MA', 'ME', 'MT', 'NL', 'NO', 'PL', 'PT', 'RS', 'SE', 'TR']"
163,D9,DNV,Daallo Airlines (Somalia),"['KE', 'SO']"
164,DCT,,Airtask Group,['GB']
165,DD,NOK,Nok Air,"['CN', 'IN', 'TH']"
166,DE,CFG,Condor Flugdienst,"['AE', 'AM', 'AT', 'BB', 'CA', 'CH', 'CU', 'CY', 'DE', 'DO', 'EG', 'ES', 'FR', 'GD', 'GE', 'GR', 'HR', 'IQ', 'IT', 'JM', 'KE', 'LB', 'MA', 'MQ', 'MT', 'MU', 'MV', 'MX', 'PT', 'RS', 'SC', 'TR', 'TT', 'TZ', 'US', 'ZA']"
167,DG,SRQ,Cebgo,['PH']
168,DJ,VBH,Air Djibouti SAS,"['DJ', 'ET', 'SO', 'YE']"
169,DL,DAL,Delta Air Lines,"['AG', 'AR', 'AU', 'AW', 'BE', 'BM', 'BQ', 'BR', 'BS', 'BZ', 'CA', 'CH', 'CL', 'CN', 'CO', 'CR', 'CU', 'CW', 'CZ', 'DE', 'DK', 'DO', 'EC', 'ES', 'FR', 'GB', 'GH', 'GR', 'GT', 'HN', 'IE', 'IL', 'IS', 'IT', 'JM', 'JP', 'KN', 'KR', 'KY', 'LC', 'MX', 'NG', 'NL', 'NZ', 'PA', 'PE', 'PF', 'PR', 'PT', 'SE', 'SN', 'SV', 'SX', 'TC', 'US', 'VI', 'ZA']"
170,DM,,Arajet,"['AW', 'BR', 'CA', 'CL', 'CO', 'CR', 'CW', 'DO', 'EC', 'GT', 'JM', 'MX', 'PE', 'SV', 'SX']"
171,DMS,,Diamond Sky,['EE']
172,DO,DOA,Sky High Aviation,"['AG', 'AI', 'AW', 'BQ', 'CU', 'CW', 'DO', 'GF', 'GP', 'KN', 'MQ', 'SX', 'US', 'VE', 'VI']"
173,DP,FCA,Pobeda,"['BY', 'RU', 'UZ']"
174,DQ,,Alexandria Airlines,"['EG', 'SA']"
