,IATACode,Country,State,Name
379,ULY,RU,,Ulyanovsk
380,UYN,CN,,Yulin
381,VAF,FR,,Valence
382,VCE,IT,,Venice
383,VGO,ES,,Vigo
384,VIE,AT,,Vienna
385,VIT,ES,,Vitoria
386,VLC,ES,,Valencia
387,VLL,ES,,Valladolid
388,VPS,US,FL,Destin/Fort Walton Beach
389,VRA,CU,,Varadero
390,VRN,IT,,Verona
391,WAS,US,DC,Washington
392,WAW,PL,,Warsaw
393,WCA,CL,,Castro
394,WDH,NA,,Windhoek
395,WDS,CN,,Shiyan
396,WGN,CN,,Shaoyang
397,WHU,CN,,Wuhu
398,WUH,CN,,Wuhan
399,WUZ,CN,,Wuzhou
400,WXN,CN,,Wanzhou
401,XAI,CN,,Xinyang
402,XFN,CN,,Xiangyang
403,XHV,RO,,Brasov
404,XRY,ES,,Jerez
405,XUZ,CN,,Xuzhou
406,YAO,CM,,Yaounde
407,YAZ,CA,BC,Tofino
408,YCD,CA,BC,Nanaimo
409,YEA,CA,AB,Edmonton
410,YGK,CA,ON,Kingston
411,YGP,CA,QC,Gaspe
412,YHZ,CA,NS,Halifax
413,YIH,CN,,Yichang
414,YMQ,CA,QC,Montreal
415,YOW,CA,ON,Ottawa
416,YPW,CA,BC,Powell River
417,YQB,CA,QC,Quebec
418,YQG,CA,ON,Windsor
419,YQM,CA,NB,Moncton
420,YTO,CA,ON,Toronto
421,YVA,KM,,Moroni
422,YVR,CA,BC,Vancouver
423,YWG,CA,MB,Winnipeg
424,YXU,CA,ON,London
425,YYA,CN,,Yueyang
426,YYJ,CA,BC,Victoria
427,ZAG,HR,,Zagreb
428,ZAZ,ES,,Zaragoza
429,ZCO,CL,,Temuco
430,ZEL,CA,BC,Bella Bella
431,ZRH,CH,,Zurich
432,ZRQ,CH,,SBB Rail
433,ZUH,CN,,Zhuhai
434,ZYI,CN,,Zunyi
435,ZYM,NL,,Arnhem
