,IATACode,Aircraft Name
231,DFL,Dassault Falcon
232,DH1,De Havilland DHC-8-100 Dash 8/8Q
233,DH2,De Havilland DHC-8-200 Dash 8/8Q
234,DH3,De Havilland DHC-8-300 Dash 8/8Q
235,DH4,De Havilland DHC-8 Dash 8-400 Dash 8Q
236,DH7,De Havilland DHC-7 Dash 7
237,DH8,De Havilland DHC-8 Dash 8
238,DHB,De Havilland DHC2 Beaver/Turbo Beaver
239,DHC,De Havilland DHC-4 Caribou
240,DHL,De Havilland DHC-3 Turbo Otter
241,DHO,De Havilland DHC-3 Otter/Turbo Otter
242,DHP,De Havilland DHC-2 Beaver
243,DHS,De Havilland DHC 3 Otter
244,DHT,De Havilland DHC-6 Twin Otter
245,E70,Embraer 170
246,E75,Embraer 175
247,E7W,Embraer 175 (Enhanced Winglets)
248,E90,Embraer 190
249,E95,Embraer 195
250,EC3,Eurocopter EC130
251,EM2,Embraer 120 Brasilia
252,EMB,Embraer 110 Bandeirante
253,EMJ,Embraer 170/195
254,EQV,Equipment Varies
255,ER3,Embraer RJ135
256,ER4,Embraer RJ145
257,ERD,Embraer RJ140
258,ERJ,Embraer RJ 135/140/145
259,F21,Fokker F28-1000 Fellowship
260,F22,Fokker F28-2000 Fellowship
261,F23,Fokker F28-3000 Fellowship
262,F24,Fokker F28-4000 Fellowship
263,F27,Fokker F27 Friendship/Fairchild F27
264,F28,Fokker F28 Fellowship
265,F50,Fokker 50
266,F70,Fokker 70
267,FA7,Fairchild Dornier 728
268,FK7,Fairchilds FH227
269,FRJ,Fairchild Dornier 328JET
270,GA8,Gippsland Aeronautics GA8 Airvan
271,GJ4,Gulfstream Aerospace IV
272,GRG,Grumman G-21 Goose (Amphibian)
273,GRJ,Gulfstream Aerospace Gulfstream 2/3/4/5
274,GRM,Grumman G-73 Mallard (Amphibian)
275,GRS,Gulfstream Aerospace G159 Gulfstream 1
276,H25,BAe (Hawker Siddeley) 125
277,HEC,HELIO H250 Courier/H295/395Supercourier
278,HOV,Hovercraft
279,HS7,BAe (Hawker Siddeley) 748
280,I14,Ilyushin IL114
281,ICE,Inter-City Express Train
282,ICE,Inter-City Express Train
283,IL6,Ilyushin IL-62
284,IL7,Ilyushin IL-76
285,IL8,Ilyushin IL-18
286,IL9,Ilyushin IL-96 Passenger
287,ILW,Ilyushin IL-86
288,J31,BAe Jetstream 31
289,J32,BAe Jetstream 32
290,J41,BAe Jetstream 41
291,JST,BAe Jetstream
292,JU5,Junkers JU 52/3M
293,L10,Lockheed L1011 Tristar Passenger
294,L11,Lockheed L1011 Tristar 1/50/100/150/200
295,L15,Lockheed L1011 Tristar 500 Passenger
296,L1F,Lockheed L1011 Tristar Freight
297,L49,Lockheed L749/L1049 Super Constellation
298,L4T,LET 410
299,LCH,Launch/Boat
300,LMO,Limousine
301,LOE,Lockheed L188 Electra Passenger
302,LOF,Lockheed L188 Electra Freight
303,LOH,Lockheed L182/L282/L382 (L100) Hercules
304,LOM,Lockheed L188 Electra Mixed
305,LRJ,Learjet
306,LRJ,Learjet
307,M11,Boeing (Douglas) MD-11 Passenger
308,M1F,Boeing (Douglas) MD-11 Freight
309,M1M,Boeing (Douglas) MD-11 Mixed
310,M80,Boeing (Douglas) MD-80
311,M81,Boeing (Douglas) MD-81
312,M82,Boeing (Douglas) MD-82
313,M83,Boeing (Douglas) MD-83
314,M87,Boeing (Douglas) MD-87
315,M88,Boeing (Douglas) MD-88
316,M90,Boeing (Douglas) MD-90
317,MA6,Xian Yunshuji MA-60/MA600
318,MBH,Eurocopter (MBB) BO 105
319,MD9,MD Helicopter MD 900 Explorer
320,MIH,MIL MI-8/MI-17/MI-171/MI-172
321,MTL,Metroliner Train
322,MU2,Mitsubishi MU-2
323,ND2,Aerospatiale (Nord) 262
324,NDC,Aerospatiale SN601 Corvette
325,NDE,Eurocopter Ecureuil AS350/AS355 2
326,NDH,Eurocopter SA365C Dauphin 2
327,PA1,Piper (Light Aircraft - Single Piston)
328,PA2,Piper (Light Aircraft - Twin Piston)
329,PAG,Piper (Light Aircraft)
330,PAT,Piper (Light Aircraft - Twin Turboprop)
331,PL2,Pilatus PC-12
332,PL6,Pilatus PC6 Turbo Porter
333,PN6,Partenavia P68
334,RFS,Road Feeder Service (TRUCK)
335,S20,SAAB 2000
336,S58,Sikorsky S-58T
337,S61,Sikorsky S61
338,S76,Sikorsky S-76
339,SF3,SAAB 340
340,SFB,Saab 340B
341,SH3,Shorts 330 (SD3-30)
342,SH6,Shorts 360 (SD3-60)
343,SHB,Shorts SC.5 Belfast
344,SHS,Shorts Skyvan (SC-7)
345,SU1,Sukhoi Superjet 100
346,SU9,Sukhoi Superjet 100-95
347,SWM,Fairchild SA26/SA226/SA277 Merlin/Metro
348,T20,Tupolev TU-204/TU-214
349,T2F,Tupolev TU-204 Freight
350,TGV,Train A Grand Vitesse
351,THS,High Speed Train
352,THT,Hotel Train
353,TRN,Train
354,TRS,Surface Equipment-Train High Speed Train
355,TSL,Sleeper Train
356,TU3,Tupolev TU134
357,TU5,Tupolev TU154
358,VCV,BAe (Vickers) Viscount
359,WWP,Israel Aircraft Ind.1124 Westwind
360,YK2,Yakolev YAK-42/142
361,YK4,Yakolev YAK-40
362,YN2,Harbin Yunshuji Y12
363,YN7,Xian Yunshuji Y7/MA60
364,YS1,NAMC YS-11
